policy_id,account_id,policy_number,policy_type,effective_date,expiry_date
POL-001,ACC-009,PN-10001,Auto Liability,2024-01-01,2024-12-31
POL-002,ACC-004,PN-10002,Auto Liability,2024-01-01,2024-12-31
POL-003,ACC-010,PN-10003,Property,2024-01-01,2024-12-31
POL-004,ACC-001,PN-10004,Workers Compensation,2024-01-01,2024-12-31
POL-005,ACC-007,PN-10005,Property,2024-01-01,2024-12-31
POL-006,ACC-005,PN-10006,Workers Compensation,2024-01-01,2024-12-31
POL-007,ACC-004,PN-10007,Property,2024-01-01,2024-12-31
POL-008,ACC-002,PN-10008,General Liability,2024-01-01,2024-12-31
POL-009,ACC-007,PN-10009,General Liability,2024-01-01,2024-12-31
POL-010,ACC-006,PN-10010,Property,2024-01-01,2024-12-31
POL-011,ACC-010,PN-10011,Property,2024-01-01,2024-12-31
POL-012,ACC-001,PN-10012,Auto Liability,2024-01-01,2024-12-31
POL-013,ACC-009,PN-10013,General Liability,2024-01-01,2024-12-31
POL-014,ACC-007,PN-10014,General Liability,2024-01-01,2024-12-31
POL-015,ACC-009,PN-10015,Property,2024-01-01,2024-12-31
